pid,lat,lon,coords,points
4391585679,52.6287,1.28398,POINT (1.28398 52.6287),POINT (1.28398 52.6287)
4354178986,53.0624,-1.38775,POINT (-1.38775 53.0624),POINT (-1.38775 53.0624)
4306845568,55.8796,-4.31433,POINT (-4.31433 55.8796),POINT (-4.31433 55.8796)
4281237803,55.976,-4.2195,POINT (-4.2195 55.976),POINT (-4.2195 55.976)
4353495651,53.3371,-1.46788,POINT (-1.46788 53.3371),POINT (-1.46788 53.3371)
4391596365,52.6291,1.28682,POINT (1.28682 52.6291),POINT (1.28682 52.6291)
4252241934,51.3544,-1.98882,POINT (-1.98882 51.3544),POINT (-1.98882 51.3544)
4251469875,51.3544,-1.98882,POINT (-1.98882 51.3544),POINT (-1.98882 51.3544)
4278029889,55.976,-4.21969,POINT (-4.21969 55.976),POINT (-4.21969 55.976)
4389702517,53.4012,-2.91361,POINT (-2.91361 53.4012),POINT (-2.91361 53.4012)
4381939076,51.4717,-0.489449,POINT (-0.489449 51.4717),POINT (-0.489449 51.4717)
4262851312,56.3951,-3.4273,POINT (-3.4273 56.3951),POINT (-3.4273 56.3951)
4294684291,58.6596,-3.37259,POINT (-3.37259 58.6596),POINT (-3.37259 58.6596)
4295661590,58.6693,-3.37705,POINT (-3.37705 58.6693),POINT (-3.37705 58.6693)
